rank,spine_id,name,ktcda_name,custodian,corporation,ward,footprint_ha,season,clear_passes,need_class,need_reason,condition_band,condition_inputs,stakes,tractability,urgency,programme,programme_detail,programme_source_class,kspcb_class,need_index,confidence,W1,W2,W2_band,Q1,Q1_p7,W2_p7,H2,B1,B1_change_2019,froth_events_per_year_2019_25,custody_lakes_downstream,buildings_in_catchment,cascade_position,boundary_confidence,flags,band_notes
12,gba-bbmp-170,Kammagondanahalli Lake,Kammagondanahalli Lake,BBMP,North,Shettihalli,7.47,monsoon (Jun-Sep) 2026,6,Fund now,vegetation 78%; holds 16% of its extent; chlorophyll proxy 0.32; regulator D; nothing on record,E,C1=E C3=A(A/B) C4=E C5=D(D/E) C8=A G2=D,Medium,High,Steady,none,,,D,2.35,low,0.1024,0.7767,0.0833,0.3205,94.1,45.5,0.165,0.0081,-0.251,0.29,1,3551,1,medium,,C3 candidates A/B; C5 candidates D/E
13,gba-bbmp-054,Byrasandra Melina Kere,Melina Byrasandra (DRDO),BBMP,Central,New Thippasandra,6.62,monsoon (Jun-Sep) 2026,8,Fund now,vegetation 38%; holds 27% of its extent; froth 34/yr; nothing on record,E,C1=E(D/E) C3=A(A/B) C4=D(C/D/E) C5=C(B/C/D) C8=E,Medium,High,Steady,none,,,,2.35,low,0.1938,0.3779,0.0985,0.1333,65.0,3.4,0.273,0.0033,-0.018,33.57,1,1130,1,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates C/D/E; C5 candidates B/C/D
14,gba-bbmp-022,Bhoganahalli Lake,Bhoganahalli Lake,BBMP,East,Panathur,3.71,monsoon (Jun-Sep) 2026,8,Fund now,holds 5% of its extent; regulator E; nothing on record,E,C1=E C3=A(A/B) C4=A(A/B) C5=C(C/D) C8=B G2=E,Medium (lifted: cascade),High,Steady,none,,,E,2.35,low,0.0351,0.0787,0.082,0.1929,70.6,35.7,0.047,0.0,0.0,2.29,2,415,1,medium,,C3 candidates A/B; C4 candidates A/B; C5 candidates C/D
15,gba-bbmp-014,Chinnappanahalli,Chinnappanahalli,BBMP,East,Priyadarshini Ward,3.62,monsoon (Jun-Sep) 2026,5,Fund now,vegetation 31%; chlorophyll proxy 0.48; froth 27/yr; regulator E; nothing on record,E,C1=C(C/D) C3=A(A/B) C4=D(C/D/E) C5=E(D/E) C8=E G2=E,Medium (lifted: cascade),High,Steady,none,,,E,2.35,low,0.494,0.3128,0.1109,0.4784,83.3,53.3,0.504,0.0,0.0,26.71,2,918,1,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates C/D/E; C5 candidates D/E
16,gba-bbmp-038,Chelekere,Challakere Lake,BBMP,East,Chellakere,3.04,monsoon (Jun-Sep) 2026,7,Fund now,vegetation 58%; holds 37% of its extent; regulator E; nothing on record,E,C1=D(C/D/E) C3=A(A/B) C4=E C5=B(B/C) C8=B G2=E,Medium (lifted: cascade),High,Steady,none,,,E,2.35,low,0.2239,0.5846,0.1289,0.0877,32.1,54.1,0.372,0.0,0.0,0.57,2,15537,2,medium,,C1 candidates C/D/E; C3 candidates A/B; C5 candidates B/C
17,gba-bbmp-072,Annappanakere / Yelchenahalli Lake (Yelachenahalli Kere),Annappanakere / Yelchenahalli Lake,BBMP,South,Yelachenahalli,2.09,monsoon (Jun-Sep) 2026,7,Fund now,vegetation 50%; holds 9% of its extent; regulator D; nothing on record,E,C1=E C3=A(A/B) C4=E(D/E) C5=C(B/C/D) C8=B G2=D,Medium (lifted: cascade),High,Steady,none,,,D,2.35,low,0.0896,0.4972,0.1345,0.1606,40.9,89.3,0.091,0.0,0.0,2.43,2,903,2,medium,,C3 candidates A/B; C4 candidates D/E; C5 candidates B/C/D
18,gba-bbmp-078,Basavanapura Pond,Basavanapura Lake,BBMP,South,Doddakammanahalli,1.73,monsoon (Jun-Sep) 2026,6,Fund now,vegetation 68%; holds 9% of its extent; regulator D; nothing on record,E,C1=E C3=A(A/B) C4=E C8=B G2=D,Medium (lifted: cascade),High,Steady,none,,,D,2.35,low,0.0693,0.6792,0.1382,,,79.3,0.089,0.0,0.0,1.43,4,505,1,medium,,C3 candidates A/B
19,gba-bmrcl-001,Veerasandra Lake,Veerasandra Lake,BMRCL,,,4.06,monsoon (Jun-Sep) 2026,9,Fund now,vegetation 58%; holds 0% of its extent; froth 19/yr; nothing on record,E,C1=E C3=A(A/B) C4=E C8=E,Low,High,Rising,none,,,,2.3,low,0.0025,0.5788,0.1154,,,97.0,0.003,0.0,-0.123,18.86,0,934,3,medium,,C3 candidates A/B
20,gba-bbmp-199,Avalahalli,Avalahalli,BBMP,,,3.93,monsoon (Jun-Sep) 2026,5,Fund now,vegetation 92%; holds 0% of its extent; froth 6/yr; nothing on record,E,C1=E C3=B(B/C) C4=E C8=D,Low,High,Rising,none,,,,2.3,low,0.0,0.9237,0.0805,,,97.2,0.0,0.0431,0.043,6.14,1,648,1,medium,,C3 candidates B/C
21,gba-bbmp-029,Pattandur agrahara -54 Lake,Pattandur agrahara -54 Lake,BBMP,East,S.M Krishna Ward,3.61,monsoon (Jun-Sep) 2026,10,Fund now,vegetation 93%; holds 1% of its extent; regulator D; nothing on record,E,C1=E C3=B(A/B) C4=E C8=A G2=D,Low,High,Rising,none,,,D,2.3,low,0.0042,0.9307,0.0806,,,95.0,0.006,0.0232,0.023,0.43,1,660,1,medium,,C3 candidates A/B
22,gba-bbmp-093,Devarakere (ISRO Layout Lake),Devarakere,BBMP,South,Uttarahalli,1.75,monsoon (Jun-Sep) 2026,6,Fund now,vegetation 47%; holds 20% of its extent; chlorophyll proxy 0.27; regulator E; nothing on record,E,C1=E(D/E) C3=A(A/B) C4=E(D/E) C5=D(C/D) C8=B G2=E,Low,High,Steady,none,,,E,2.05,low,0.1458,0.4708,0.1427,0.2653,75.9,83.9,0.203,0.0024,0.0,0.71,0,1106,3,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates D/E; C5 candidates C/D
23,gba-bbmp-152,Kogilu Lake,Kogilu Lake,BBMP,North,Kogilu,24.26,monsoon (Jun-Sep) 2026,4,Fund now,vegetation 40%; holds 30% of its extent; regulator E; nothing on record,D,C1=D(D/E) C3=A(A/B) C4=D(D/E) C8=A G2=E,High,High,Steady,none,,,E,2.2,medium,0.2049,0.3956,0.0709,,,25.0,0.302,0.0004,-0.022,0.14,3,4276,2,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates D/E
24,gba-bbmp-007,Kaikondrahalli Lake,Kaigondanahalli Lake,BBMP,South,Kasavanahalli,31.75,monsoon (Jun-Sep) 2026,8,Fund now,holds 44% of its extent; chlorophyll proxy 0.23; froth 26/yr; regulator D; nothing on record,D,C1=D(C/D) C3=B(A/B) C4=B(B/C) C5=D(B/D/E) C8=E G2=D,High,High,Steady,none,,,D,2.2,low,0.4129,0.1717,0.0668,0.2314,40.0,44.0,0.437,0.0207,-0.0,25.71,2,1383,5,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates B/C; C5 candidates B/D/E
25,gba-bbmp-053,Byrasandra Lake,Kelagina Byrasandra,BBMP,Central,New Thippasandra,4.36,monsoon (Jun-Sep) 2026,7,Fund now,holds 32% of its extent; chlorophyll proxy 0.20; froth 32/yr; nothing on record,D,C1=D(D/E) C3=A(A/B) C4=B(A/B/C) C5=D(C/D) C8=E,Medium (lifted: cascade),High,Steady,none,,,,1.9,low,0.2838,0.1821,0.1002,0.2005,67.9,45.5,0.317,0.0,-0.003,31.57,2,315,1,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates A/B/C; C5 candidates C/D
26,gba-bbmp-177,Nayandahalli Lake,Nayandanahalli Lake,BBMP,West,Nayanda Halli,4.18,monsoon (Jun-Sep) 2026,4,Fund now,holds 28% of its extent; froth 7/yr; regulator D; nothing on record,D,C1=E(D/E) C3=A(A/B) C4=B(A/B/C) C8=D G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.9,low,0.2462,0.119,0.0879,,,46.4,0.283,0.0,-0.357,6.86,0,7457,3,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates A/B/C
27,gba-bbmp-100,Konappana Agrahara Lake (Karabu Kere/Konappana agrahara lake),Konappana Agrahara Lake,BBMP,South,Naganathapura,1.39,monsoon (Jun-Sep) 2026,9,Fund now,vegetation 31%; holds 39% of its extent; chlorophyll proxy 0.25; regulator D; nothing on record,D,C1=D(C/D/E) C3=A(A/B) C4=D(B/D/E) C5=D(B/D) C8=B G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.9,low,0.2933,0.3111,0.1487,0.2489,75.0,39.4,0.388,0.0,0.0,0.71,7,340,1,medium,,C1 candidates C/D/E; C3 candidates A/B; C4 candidates B/D/E; C5 candidates B/D
28,gba-bbmp-161,Yediyur Lake,Yediyur Lake,BBMP,West,Yediyuru,4.25,monsoon (Jun-Sep) 2026,6,Fund now,vegetation 36%; holds 43% of its extent; chlorophyll proxy 0.31; regulator D; nothing on record,D,C1=D(C/D) C3=A(A/B) C4=D(C/D/E) C5=D(C/D/E) C8=B G2=D,Low,High,Rising,none,,,D,1.85,low,0.4131,0.3601,0.1021,0.3138,65.5,100.0,0.426,0.0,0.0,1.43,1,1203,1,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates C/D/E; C5 candidates C/D/E
29,gba-bbmp-066,Hulimavu Lake,Hulimavu Lake,BBMP,South,Vijaya Bank Layout,41.16,monsoon (Jun-Sep) 2026,6,Co-fund,vegetation 76%; holds 12% of its extent; built 11%; regulator E; works on record,E,C1=E C3=D(C/D) C4=E C5=C(B/C) C8=A G2=E,High,Medium,Rising,works underway,works approaching completion by Nov 2025 (7 lakes; 240 acres),compilation,E,2.9,medium,0.0861,0.7648,0.0638,0.1139,60.0,37.5,0.122,0.1056,0.086,0.14,0,4333,4,medium,,C3 candidates C/D; C5 candidates B/C
30,gba-bbmp-039,Kalkere Lake,Kalkere Lake,BBMP,East,Horamavu,49.18,monsoon (Jun-Sep) 2026,7,Co-fund,vegetation 89%; holds 6% of its extent; chlorophyll proxy 0.23; regulator E; budget line on record,E,C1=E C3=A(A/B) C4=E C5=D(B/D) C8=A G2=E,High,High,Rising,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr) Rs 10 cr; NDMF grant 2025 (7 lakes; Rs 65 cr),compilation; press,E,2.9,low,0.0552,0.8862,0.0595,0.2314,31.2,100.0,0.058,0.0,0.0,0.43,1,71721,4,medium,,C3 candidates A/B; C5 candidates B/D
31,gba-bbmp-056,Kacharakanahalli,Kacharakanahalli,BBMP,North,Lingarajpura,6.02,monsoon (Jun-Sep) 2026,6,Co-fund,holds 15% of its extent; built 99%; works on record,E,C1=E(C/E) C3=E C4=A C5=C(B/C) C8=B,High (lifted: cascade),Low,Rising,works underway,BBMP budget 2025-26 (24 lakes; Rs 50 cr) Rs 3.5 cr; works approaching completion by Nov 2025 (7 lakes; 240 acres),compilation; press,,2.9,low,0.0233,0.0163,0.0616,0.1015,,9.7,0.151,0.9888,0.338,2,3,5589,1,medium,osm_mostly_dry,C1 candidates C/E; C5 candidates B/C
32,gba-bda-001,Bellanduru Lake,Bellanduru Lake,BDA,East,Yamalur,316.76,monsoon (Jun-Sep) 2026,4,Co-fund,vegetation 64%; holds 9% of its extent; regulator E; works on record,E,C1=E C3=A(A/B) C4=E C5=C(B/C) C8=A G2=E,High,High,Steady,works underway,BDA restoration works under NGT oversight (tender Rs 245 cr; desilting 22.69 of 32.5 lakh cu m removed by June 2024; Rs 79.67 cr additional grant approved June 2025; completion pushed to March 2026) Rs 245 cr; NGT OA 125/2017 orders (6 Dec 2018: monitoring committee and Rs 500 cr escrow; 12 Mar 2021: oversight with the Chief Secretary),order; press,E,2.65,medium,0.0599,0.6379,0.0257,0.1208,52.4,42.9,0.092,0.0024,0.002,0.29,0,71090,7,medium,,C3 candidates A/B; C5 candidates B/C
33,gba-bda-002,Varthur Lake,Varthur Lake,BDA,East,Varthur,154.99,monsoon (Jun-Sep) 2026,5,Co-fund,vegetation 61%; holds 26% of its extent; regulator D; works on record,E,C1=E(D/E) C3=A(A/B) C4=E C5=C C8=A G2=D,High,High,Steady,works underway,BDA restoration works (BDA states rejuvenation finished and seeks handover to BBMP; BBMP cites encroachments and incomplete development); NGT OA 125/2017 orders (6 Dec 2018; 12 Mar 2021),order; press,D,2.65,medium,0.2136,0.6108,0.0585,0.1372,68.2,37.5,0.261,0.0001,0.0,0.29,0,17066,5,medium,,C1 candidates D/E; C3 candidates A/B
34,gba-bbmp-119,Sompura Govt.lake,Sompura Lake,BBMP,South,Talagattapura,7.34,monsoon (Jun-Sep) 2026,4,Co-fund,vegetation 49%; holds 17% of its extent; built 17%; regulator D; budget line on record,E,C1=E(D/E) C3=D C4=E C5=B C8=A G2=D,Medium,Medium,Rising,proposed,NDMF grant 2025 (7 lakes; Rs 65 cr),compilation,D,2.6,low,0.0804,0.4924,0.0908,0.0813,64.0,7.1,0.168,0.1746,0.088,0.43,1,548,1,medium,osm_mostly_dry,C1 candidates D/E
35,gba-bbmp-168,Shivapura Old Lake,Shivapura Lake,BBMP,West,Nelagadaranahalli,1.67,monsoon (Jun-Sep) 2026,6,Co-fund,vegetation 50%; holds 1% of its extent; built 100%; regulator D; budget line on record,E,C1=E C3=E C4=E(D/E) C8=B G2=D,Medium (lifted: cascade),Low,Rising,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,D,2.6,low,0.009,0.4964,0.1481,,,37.5,0.013,1.0,0.906,1.29,2,1072,1,medium,,C4 candidates D/E
36,gba-bbmp-112,Kengeri Lake,Kengeri Lake,BBMP,West,Kengeri,9.79,monsoon (Jun-Sep) 2026,7,Co-fund,vegetation 44%; regulator E; budget line on record,E,C1=A(A/C) C3=A(A/B) C4=E(D/E) C5=C(B/C) C8=A G2=E,High (lifted: cascade),High,Easing,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,2.4,low,0.2535,0.4447,0.085,0.1188,,4.0,0.862,0.0086,-0.022,0.14,0,5385,3,medium,osm_mostly_dry,C1 candidates A/C; C3 candidates A/B; C4 candidates D/E; C5 candidates B/C
37,gba-bbmp-002,Gunjur Palya kere,Gunjur Palya kere,BBMP,East,Gunjur,12.84,monsoon (Jun-Sep) 2026,6,Co-fund,vegetation 89%; holds 0% of its extent; budget line on record,E,C1=E C3=A(A/B) C4=E C8=B,Medium,High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,2.35,medium,0.0031,0.8871,0.0689,,,85.3,0.004,0.0001,0.0,1.43,0,917,3,medium,,C3 candidates A/B
38,gba-bbmp-108,Ullal Lake,Ullala lake,BBMP,West,Ullal,9.86,monsoon (Jun-Sep) 2026,6,Co-fund,vegetation 96%; holds 0% of its extent; built 12%; regulator E; budget line on record,E,C1=E C3=D(C/D) C4=E C8=A G2=E,Medium,Medium,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,2.35,medium,0.001,0.9611,0.0634,,,70.0,0.002,0.1175,-0.038,0.29,0,3081,1,medium,osm_mostly_dry,C3 candidates C/D
39,gba-bbmp-172,Abbigere Lake,Abbigere Lake,BBMP,North,Abbigere,9.48,monsoon (Jun-Sep) 2026,6,Co-fund,vegetation 76%; holds 15% of its extent; regulator D; budget line on record,E,C1=E C3=A(A/B) C4=E C5=C(C/D) C8=A G2=D,Medium,High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,D,2.35,low,0.1118,0.7618,0.0804,0.192,,24.2,0.148,0.0028,-0.001,0,1,2751,3,medium,,C3 candidates A/B; C5 candidates C/D
40,gba-bbmp-013,Munekolala Lake,Munnekolalu kere,BBMP,East,Priyadarshini Ward,7.51,monsoon (Jun-Sep) 2026,5,Co-fund,vegetation 32%; holds 39% of its extent; chlorophyll proxy 0.46; froth 26/yr; regulator E; budget line on record,E,C1=D(D/E) C3=B(A/B) C4=D(C/D/E) C5=E(D/E) C8=E G2=E,Medium,High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,2.35,low,0.3906,0.3223,0.093,0.4557,85.7,76.7,0.389,0.0137,-0.063,25.71,1,1795,2,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates C/D/E; C5 candidates D/E
41,gba-bbmp-006,Ambalipura Upper Lake,Amblipura melina kere,BBMP,South,Kasavanahalli,4.9,monsoon (Jun-Sep) 2026,8,Co-fund,vegetation 72%; holds 6% of its extent; froth 24/yr; budget line on record,E,C1=E C3=C(B/C) C4=E C8=E,Medium (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,2.35,low,0.0417,0.7189,0.1026,,,82.9,0.059,0.0533,0.03,24.43,3,54,1,medium,,C3 candidates B/C
42,gba-bbmp-149,Singapura Lake,Singapura Lake,BBMP,North,Singapura,3.07,monsoon (Jun-Sep) 2026,5,Co-fund,holds 6% of its extent; regulator E; budget line on record,E,C1=E C3=A(A/B) C4=C(B/C/D) C8=B G2=E,Medium (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,2.35,low,0.0554,0.2703,0.1078,,,77.8,0.065,0.0,-0.073,0.71,3,2539,1,medium,,C3 candidates A/B; C4 candidates B/C/D
43,gba-bbmp-001,Ambalipura Lower Lake,Ambalipura Kelagina kere,BBMP,South,Kasavanahalli,2.2,monsoon (Jun-Sep) 2026,8,Co-fund,vegetation 64%; holds 17% of its extent; chlorophyll proxy 0.29; regulator E; budget line on record,E,C1=E(D/E) C3=A(A/B) C4=E C5=D(C/D) C8=A G2=E,Medium (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,2.35,low,0.1023,0.6409,0.1268,0.2873,84.6,54.8,0.167,0.0015,-0.179,0.43,2,171,2,medium,,C1 candidates D/E; C3 candidates A/B; C5 candidates C/D
44,gba-bbmp-003,Carmelaram Lake,Gunjuru Karmelaram lake,BBMP,East,Gunjur,2.09,monsoon (Jun-Sep) 2026,7,Co-fund,vegetation 69%; holds 0% of its extent; works on record,E,C1=E C3=A(A/B) C4=E C8=C,Medium (lifted: cascade),High,Steady,works underway,works approaching completion by Nov 2025 (7 lakes; 240 acres),compilation,,2.35,low,0.0,0.6906,0.127,,,43.2,0.0,0.0002,0.0,4.57,3,252,1,medium,osm_mostly_dry,C3 candidates A/B
45,gba-bbmp-004,Panathur lake,Panathur lake,BBMP,East,Panathur,4.51,monsoon (Jun-Sep) 2026,6,Co-fund,vegetation 41%; holds 33% of its extent; chlorophyll proxy 0.33; regulator E; budget line on record,E,C1=D(D/E) C3=A(A/B) C4=E(D/E) C5=D(D/E) C8=B G2=E,Low,High,Rising,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,2.3,low,0.315,0.4066,0.103,0.3302,100.0,100.0,0.332,0.0,-0.139,1.29,1,1258,4,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates D/E; C5 candidates D/E
46,gba-bbmp-063,Mangammana Palya Kere (ITI Layout Lake),Mangammana Palya Kere,BBMP,South,Mangammana Palya,4.93,monsoon (Jun-Sep) 2026,6,Co-fund,holds 11% of its extent; froth 26/yr; regulator D; budget line on record,E,C1=E C3=B(B/C) C4=A(A/B) C5=B(B/C) C8=E G2=D,Low,Medium,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,D,2.05,low,0.1056,0.0551,0.0808,0.0657,21.9,33.3,0.11,0.0301,0.0,26.14,1,287,1,low,observed_max_dominates;assignment_unverified,C3 candidates B/C; C4 candidates A/B; C5 candidates B/C
47,gba-bbmp-176,Sankey Lake,Sankey Lake,BBMP,West,Sadashiva Nagara,14.3,monsoon (Jun-Sep) 2026,4,Intervene early,"condition C, rising against its own history; nothing on record",C,C1=C(C/D) C3=A(A/B) C4=B(A/B/C) C5=C(B/C) C8=B G2=D,Medium,High,Rising,none,,,D,1.7,low,0.5208,0.1533,0.0708,0.1045,51.7,100.0,0.535,0.0,0.0,1.71,0,864,1,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates A/B/C; C5 candidates B/C
48,gba-bbmp-043,Nagaraesh Nagenahalli Lake,Nagareshwara-Nagenahalli Lake,BBMP,East,K Narayanapura,2.17,monsoon (Jun-Sep) 2026,7,Intervene early,"condition C, rising against its own history; nothing on record",C,C1=C(C/D) C3=A(A/B) C4=A(A/B) C5=D(C/D) C8=D,Low,High,Rising,none,,,,1.4,low,0.4913,0.0271,0.0763,0.2176,96.4,57.5,0.518,0.0009,-0.047,6.71,0,1136,1,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates A/B; C5 candidates C/D
49,gba-bbmp-035,Mahadevapura Lake-1,Mahadevapura Lake-1,BBMP,East,Mahadevapura,29.79,monsoon (Jun-Sep) 2026,7,Design first,holds 19% of its extent; chlorophyll proxy 0.30; froth 35/yr; regulator E; nothing on record,E,C1=E C3=C(C/D) C4=C(B/C) C5=D(C/D/E) C8=E G2=E,High,Medium,Rising,none,,,E,2.9,low,0.1879,0.2101,0.0702,0.3029,63.6,100.0,0.19,0.0998,-0.146,35,1,5107,2,low,observed_max_dominates,C3 candidates C/D; C4 candidates B/C; C5 candidates C/D/E
50,gba-bbmp-175,Narasappanahalli kere,Karihobanahalli Lake (Narasappanakere) Lake,BBMP,West,Dodda Bidarakallu,17.56,monsoon (Jun-Sep) 2026,4,Design first,vegetation 92%; holds 1% of its extent; built 20%; regulator D; nothing on record,E,C1=E C3=D(D/E) C4=E C8=A G2=D,Medium,Medium,Rising,none,,,D,2.6,medium,0.006,0.919,0.0641,,,24.1,0.009,0.1978,0.122,0,1,3432,2,medium,,C3 candidates D/E
51,gba-bbmp-025,Hoodi kere,Hoodi kere,BBMP,East,Kaveri Nagara,9.22,monsoon (Jun-Sep) 2026,12,Design first,vegetation 84%; holds 1% of its extent; built 18%; regulator D; nothing on record,E,C1=E C3=D(D/E) C4=E C5=C(B/C) C8=A G2=D,Medium,Medium,Rising,none,,,D,2.6,low,0.0063,0.8401,0.0762,0.1088,37.0,91.2,0.007,0.1836,0.184,0.43,0,1392,2,medium,,C3 candidates D/E; C5 candidates B/C
