operator,facility,status,cluster,address,lat,lng,district,inside_cma,ward_zone,cgwb_block,block_class_2024,block_dev_pct_2024,mw_disclosed_operational,mw_source_url,operator_water_disclosure,disclosure_source_url,inferred_water_low_mlyr_wue_0_15,inferred_water_central_mlyr_wue_0_73,inferred_water_high_mlyr_wue_1_8,caveats,nearest_named_water_bodies,nearest_named_distance_km
Sify Technologies,Chennai 01 (Tidel Park),Operational,Tidel-Taramani,"2nd Floor, Tidel Park, No.4, Canal Bank Rd, Tharamani, 600113",12.984,80.247,Chennai,Yes,Ward 180 (Zone XIII Adyar),Velacheri (nearest in CGWB Chennai dataset),Over Exploited,141.2,3.6,https://www.sifyinfinitspaces.com/data-center/chennai-data-center/,"Sify Technologies group FY23-24 water withdrawal 6,132,323 KL (up 5% YoY) - scope is the Sify Technologies group (not just the 14 DCs). Sify claims 'billions of gallons saved through water-free cooling' but DTE Nov 2025 noted 'provides no data to support the claim.'",https://sifyinfinitspaces.com/wp-content/uploads/2025/09/Sify-Infinit-Spaces-Limited_Sustainability-Report-2024-25.pdf,3,16,40,Sify's newer page reports 3.6 MW current; legacy 2022 factsheet states 1.6 MW / 433 racks - operator pages conflict. Block dataset uses Velachery as nearest match for Tidel/Taramani area; verify Velachery 2024 dev_pct.,"Kallu Kuttai Lake (lake, 9ha, 1.3km); Anna Nedumchalai Lake (lake, 12ha, 2.1km); Velachery Lake (lake, 20ha, 3.9km)",1.34
Sify Technologies,Chennai 02 (Siruseri hyperscale),Operational,OMR-Siruseri,"SIPCOT Industrial Park, Siruseri (operator factsheet lists SIPCOT IT Park)",12.825,80.222,Chengalpattu,No,Outside CMA - SIPCOT Siruseri,Sholinganallur,Safe,60,25.92,https://www.sifytechnologies.com/data-center/chennai02-data-center/,See Sify Chennai 01 - same group disclosure,https://sifyinfinitspaces.com/wp-content/uploads/2025/09/Sify-Infinit-Spaces-Limited_Sustainability-Report-2024-25.pdf,24,116,286,Sify Chennai 02 was inaugurated by TN CM M.K. Stalin on 17 April 2025 (corrects an earlier source memo that gave April 2024). Operator publishes 25.92 MW current IT load with eventual 130+ MW campus. First on-prem cable landing station at an Indian colo. Block-level Safe caveat per STT-7 row.,"Padur Lake (reservoi, 58ha, 2.7km); Maambakkam Lake (reservoi, 38ha, 6.5km); Classic Farms Lake 2 (lake, 12ha, 6.9km)",2.70
AdaniConneX,Chennai 1,Operational,OMR-Siruseri,"SIPCOT, Siruseri, Tamil Nadu 603103",12.825,80.222,Chengalpattu,No,Outside CMA - SIPCOT Siruseri,Sholinganallur,Safe,60,17,https://www.adaniconnex.com/data-centers/chennai,"AdaniConneX has NO standalone ESG report. Parent Adani Enterprises FY25 Integrated Annual Report discloses 4,390 ML group water withdrawal across 9 business segments (mining, airports, solar, wind, copper, roads, DATA CENTERS, defense, digital labs); +59% from 2022 - the period AdaniConneX Chennai 1 went live (Nov 2022). No DC-segment disaggregation.",https://www.adanienterprises.com/-/media/Project/Enterprises/Investors/Investor-Downloads/Annual-Report/AEL-FY25.pdf,16,76,188,Operator publishes 17 MW Phase 1 scaling to 33 MW full. IGBC Platinum pre-certified ('TN's first'). Operator claims 'up to 100% renewable energy' - this is a ceiling claim not a delivered fraction. Block-level Safe caveat per STT-7 row.,"Padur Lake (reservoi, 58ha, 2.7km); Maambakkam Lake (reservoi, 38ha, 6.5km); Classic Farms Lake 2 (lake, 12ha, 6.9km)",2.70
Yotta Infrastructure,Chennai DC Park (announced),Announced (operator page labelled 'Coming Up Next'),Oragadam,"Hiranandani Parks, Singaperumal-Oragadam Highway, Thriveni Nagar Vadakkupattu (13-acre campus)",12.798,79.964,Chengalpattu,No,Outside CMA - Oragadam,Not in CGWB Chennai dataset (Chengalpattu district),Pending - Chengalpattu district profile required,N/A,0 (not yet operational),https://yotta.com/data-center/chennai/,Yotta publishes NO sustainability or ESG report. Told DTE Nov 2025: 'Modern hyperscale DCs - including ours - are built to operate at extremely low WUE and avoid reliance on freshwater entirely' - but provides no figures. No public water disclosure.,https://www.downtoearth.org.in/science-technology/indias-digital-thirst-what-data-centre-giants-arent-saying-about-their-water-use,0,0,0,"Yotta-TN govt MoU signed for INR 4,000 cr / 200 MW Chennai campus. First building announced at 25 MW / 5,000 racks; original 2021 target slipped. Yotta's own page is labelled 'COMING UP NEXT!' - not operational as of May 2026. If first building activates: at 25 MW would imply 23 / 112 / 276 ML/yr inferred.","Chettipunniyam lake (water, 96ha, 5.1km); Paranur Lake (pond, 15ha, 7.7km)",5.11
Nxtra by Airtel,Chennai 1 (hyperscale),Operational,Chennai (operator does not publish sub-locality),Chennai (Nxtra's own page does not publish street address),13.04,80.21,Chennai,Verify,Operator does not publish sub-locality - ward unknown,Pending,Pending,Pending,38,https://www.nxtra.in/data-center-chennai,"Nxtra FY24-25 Sustainability Report discloses India total water consumption 216,357 KL (9,876 KL groundwater + 191,152 KL third-party + 15,329 KL recycled). No FY22-23 or FY23-24 comparable figures published - YoY tracking impossible. No facility-level Chennai split.",https://assets.airtel.in/nxtra/pdf/Nxtra-Sustainability-Report-2025.pdf,35,170,419,Nxtra publishes Chennai cluster aggregate of '46 MW IT power across 4 facilities (2 hyperscale + 2 large)' but NOT facility-level MW breakdown. The '38 MW CMH' naming used by third-party DC directories does not appear on nxtra.in. Per-facility numbers are secondary.,"Krishna Nagar Pond (pond, 1ha, 2.1km); Velachery Lake (lake, 20ha, 5.8km); JJ Nagar Lake (lake, 1ha, 6.0km)",2.09
Nxtra by Airtel,Chennai II (Siruseri),Operational,OMR-Siruseri,Siruseri (per third-party DC directories; not on Nxtra's own page),12.825,80.222,Chengalpattu,No,Outside CMA - SIPCOT Siruseri,Sholinganallur,Safe,60,24,https://www.nxtra.in/data-center-chennai,See Nxtra Chennai 1,https://assets.airtel.in/nxtra/pdf/Nxtra-Sustainability-Report-2025.pdf,22,107,265,24 MW figure from third-party directories not from Nxtra's own page. Block-level Safe caveat per STT-7 row.,"Padur Lake (reservoi, 58ha, 2.7km); Maambakkam Lake (reservoi, 38ha, 6.5km); Classic Farms Lake 2 (lake, 12ha, 6.9km)",2.70
Iron Mountain (formerly Web Werks),CHN-1,Under Construction (target 2026),Ambattur,"Plot No 83, MTH Road, Ambattur Industrial Estate, Ambattur, Chennai 600053",13.115,80.151,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,23.2,https://www.ironmountain.com/data-centers/locations/chennai-data-center,"Iron Mountain Data Centers 2024 Sustainability Performance Overview commits to maximum WUE 0.4 L/kWh in water-stressed areas by 1 Jan 2025 (target, not realized). No India-region operational water KL published. Only India water signal: 10 KLD daily request to BWSSB Bangalore (~3,650 KL/yr).",https://s204.q4cdn.com/148941814/files/doc_downloads/2024-IMDC-Sustainability-Performance-Overview-FINAL.pdf,21,104,256,Iron Mountain acquired Web Werks April 2025; 4.3-acre Ambattur campus; 42 MW combined. CHN-1 23.2 MW target Q3 2026. Per-building MW (23.2 vs 19) is from operator campus brochure; some industry coverage gives different splits.,"Ambattur Lake (reservoi, 162ha, 1.2km); Araabath Lake (reservoi, 11ha, 1.9km); Ayapakkam Lake (water, 30ha, 2.9km)",1.18
Iron Mountain (formerly Web Werks),CHN-2,Under Construction (target 2028),Ambattur,"Plot No 84, MTH Road, Ambattur Industrial Estate, Ambattur, Chennai 600053",13.115,80.151,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,19,https://www.ironmountain.com/data-centers/locations/chennai-data-center,See Iron Mountain CHN-1,https://s204.q4cdn.com/148941814/files/doc_downloads/2024-IMDC-Sustainability-Performance-Overview-FINAL.pdf,17,85,210,,"Ambattur Lake (reservoi, 162ha, 1.2km); Araabath Lake (reservoi, 11ha, 1.9km); Ayapakkam Lake (water, 30ha, 2.9km)",1.18
Digital Connexion (Brookfield/Jio/Digital Realty JV),MAA10,Operational (Jan 2024),Ambattur,Ambattur Industrial Estate (10.5-acre campus; operator does not publish street address),13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,20,https://www.digitalconnexion.com/datacenter/,"Digital Connexion publishes NO standalone ESG report. None of parents (Digital Realty, Brookfield, Reliance Industries) breaks out MAA10 in their disclosures. Marketing claims maglev technology-based chillers 'maximising energy and water efficiency' - no quantitative water disclosure.",https://www.digitalconnexion.com/datacenter/,18,90,221,Operator publishes 20 MW Phase 1 with 100 MW eventual campus capacity. Inaugurated by TN IT Minister 12 Jan 2024. Claimed as Chennai's largest single-campus IT-load build-out target until Lumina/AirTrunk and PDG announcements.,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
Princeton Digital Group,CH1,Under Construction (announced Sep 2024),Northern CMA,"Northern Chennai Metropolitan Area, 9.3-acre site (PDG does not publish street address)",13.13,80.18,Tiruvallur or Chennai (boundary),Yes (likely),Verify - PDG only publishes 'northern CMA',Pending - depends on exact site location,Pending,N/A,72,https://princetondg.com/locations/india/,PDG 2024-2025 Sustainability Report publishes Carbon Usage Effectiveness 0.30 portfolio-wide; no comparable WUE figure. No India-region water withdrawal or consumption disclosed.,https://princetondg.com/wp-content/uploads/2025/07/PDG-SustainabilityReport24-25.pdf,66,322,795,Operator publishes 72 MW AI-ready campus; site is part of $1B India expansion to combined 230 MW (Mumbai + Chennai). PDG does not publish street address or target year-online.,"Korattur Lake (lake, 197ha, 0.8km); Athi Villivakkam Eri (water, 7ha, 3.4km); Retteri Lake (reservoi, 95ha, 3.6km)",0.78
CapitaLand India Trust (CLINT),CLDC Chennai 01,Under Construction (target end 2025),Ambattur,Ambattur (4.01-acre site; CapitaLand does not publish street address),13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,54,https://www.capitaland.com/en/find-a-property/global-property-listing/data-centres/capitaland-data-centrechennai.html,"CLINT Sustainability Report 2025 discloses: 'data centres in Bangalore, Chennai, Hyderabad and Mumbai are yet to be operational' - so no DC water exists yet to disclose. CLINT operating IT-park portfolio (GRESB 5-star, 90/100 score 2024) is the IT-park business; CLDC Chennai is pre-operational.",https://investor.clint.com.sg/newsroom/20260417_071425_CY6U_H8E5UAP006NIKMG8.1.pdf,50,242,596,CapitaLand's own page publishes 54 MW (gross). Some industry coverage (DCD) reports 34 MW IT / 54 MW gross split; this IT-vs-gross breakdown is NOT in CapitaLand's own pages.,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
Colt DCS,Chennai DC,Under Construction (target 2027),Ambattur,"Ambattur, Chennai (10-acre / approx 76,000 m² gross site; operator does not publish street address)",13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,72,https://www.coltdatacentres.net/en-GB/our-locations/data-centre-locations-asia/chennai,Colt DCS does not publish facility-level water disclosure for Chennai (site under construction).,https://www.coltdatacentres.net/en-GB/our-locations/data-centre-locations-asia/chennai,66,322,795,Operator publishes 'up to 72 MW IT power across two buildings'; joint venture with RMZ announced Nov 2024.,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
AirTrunk (Lumina CloudInfra legacy),Chennai hyperscale campus,Announced,Ambattur,Ambattur (16-acre parcel; AirTrunk acquired Lumina April 2026),13.105,80.158,Tiruvallur,Yes,Ward 81 (Zone VII Ambattur),Ambattur,Over Exploited,204,Not disclosed for Chennai,https://airtrunk.com/airtrunk-acquires-lumina-cloudinfra/,AirTrunk's India portfolio is announced at approximately 600 MW planned capacity across Mumbai + Chennai + Hyderabad. Chennai-specific MW is NOT disclosed by AirTrunk; the 216 MW Chennai figure circulating in trade press derives from pre-acquisition Lumina materials.,https://airtrunk.com/airtrunk-acquires-lumina-cloudinfra/,Not computable,Not computable,Not computable,AirTrunk does NOT publish a Chennai-specific MW. Do not infer consumption without operator disclosure. Australian parent has stronger disclosure norms than Indian peers; watchpoint for post-acquisition reporting.,"Ambattur Lake (reservoi, 162ha, 1.5km); Araabath Lake (reservoi, 11ha, 3.2km); Ayapakkam Lake (water, 30ha, 3.2km)",1.46
Techno Digital (Techno Electric & Engineering Co),TD-1,Operational (Aug 2025),OMR-Siruseri,"SIPCOT IT Park, Siruseri, Chennai",12.825,80.222,Chengalpattu,No,Outside CMA - SIPCOT Siruseri,Sholinganallur,Safe,60,36,https://www.datacentredynamics.com/en/news/techno-digital-launches-td-1/,Techno Digital does not appear to publish a standalone ESG report yet (recently launched Aug 2025). Operator-quoted PUE 1.35 with adiabatic cooling; no WUE figure published.,https://www.builtinchennai.in/article/techno-digital-td-1/,33,161,397,"36 MW figure from launch coverage; 273,640 sq ft / 23,000 sqm / 2,400 racks; 10-50 kW per rack with direct-to-chip option. Inaugurated Aug 2025.","Padur Lake (reservoi, 58ha, 2.7km); Maambakkam Lake (reservoi, 38ha, 6.5km); Classic Farms Lake 2 (lake, 12ha, 6.9km)",2.70
Equinix,Chennai CN1,Operational (19 Sep 2025),OMR-Siruseri,Siruseri (nearly six-acre plot; operator does not publish exact street address),12.825,80.222,Chengalpattu,No,Outside CMA - SIPCOT Siruseri,Sholinganallur,Safe,60,3.24,https://www.equinix.com/data-centers/asia-pacific-colocation/india-colocation/chennai-data-centers/cn1,"Equinix discloses water at GLOBAL portfolio level only (5,440 ML withdrawal in 2024; 2,140 ML / 39% from high-baseline-water-stress areas; global WUE 0.95 L/kWh). NO India-region or Chennai disclosure. CN1 opened 19 Sep 2025 with US$69M Phase 1 capex.",https://www.equinix.com/content/dam/eqxcorp/en_us/documents/resources/data-sheets/ds_sustainability_data_en.pdf,3,15,36,"Operator publishes 3.24 MW Phase 1 with 25 MW build-out target. 800 cabinets Phase 1; 4,250 cabinets full build.","Padur Lake (reservoi, 58ha, 2.7km); Maambakkam Lake (reservoi, 38ha, 6.5km); Classic Farms Lake 2 (lake, 12ha, 6.9km)",2.70
Tata Communications,Chennai VSB,Operational,CBD-Mount Road,"4 Swami Sivananda Salai, Chennai 600002 (per DataCenterMap; Tata Communications does not maintain a dedicated public per-facility landing page)",13.063,80.262,Chennai,Yes,Mount Road CBD area,Not specifically identified in CGWB Chennai dataset for this address,Pending - CBD area block mapping,N/A,Not disclosed,https://www.tatacommunications.com/,"Tata Communications BRSR FY24-25 + Climate Action Report 2025 do not break out water at India-DC level. TTBS (Tata Teleservices business services) FY24-25 water 33,032 KL (-10% YoY) - not specifically DC. Group commits to 20% reduction by FY30 and eventual water neutrality.",https://gamma.tatacommunications.com/assets/wp-content/uploads/2025/06/business-responsibility-and-sustainability-report-2025.pdf,Not computable,Not computable,Not computable,Tata Communications does not publish per-facility MW for Chennai DCs. Address from DataCenterMap secondary. The legacy Tata Communications data-center business was divested to STT GDC in 2016; some 'Tata Comm' branded sites may now operate under STT branding.,"Kapaleeshwara Koil Kulam (pond, 3ha, 3.3km); ICF Lake (reservoi, 13ha, 6.6km); Mariamman Koil Kulam (pond, 1ha, 7.2km)",3.34
RackBank,GigaCampus (Chennai),Announced,Sriperumbudur,Sriperumbudur per industry coverage; RackBank's own page does not break out per-city detail,12.967,79.948,Kanchipuram,No,Outside CMA - Sriperumbudur,Not in CGWB Chennai dataset (Kanchipuram district),Pending - Sriperumbudur block previously reported Critical at 90.28% development (2012-13 vintage; Anna University study). 2024 status requires CGWB Kanchipuram district profile.,N/A,Not separately disclosed for Chennai,https://www.rackbank.com/gigacampus-location.php,RackBank does not publish a standalone ESG report yet.,https://www.rackbank.com/gigacampus-location.php,Not computable,Not computable,Not computable,RackBank's 'GigaCampus ONE' refers to Raipur per operator's own copy. The 4.35M sq ft / 500 MW Chennai figures circulating in trade press are NOT on RackBank's own page. Sriperumbudur block historically Critical (90.28% in 2012-13 per Anna University 2018 study); 2024 status requires CGWB Kanchipuram district profile pull.,"SriPerumpudur lake (reservoi, 278ha, 1.7km); Pennalur Lake (water, 24ha, 2.3km); Nemmili Lake (water, 30ha, 3.3km)",1.73
Microsoft Azure,South India region (Chennai),Operational (since 2015),Chennai (Microsoft does not disclose physical addresses for Azure regions),Microsoft does not publish facility-level addresses for Azure regions,13.04,80.21,Chennai,Verify,Microsoft does not disclose,Not identifiable - Microsoft does not disclose,Pending,Pending,Not disclosed,https://datacenters.microsoft.com/globe/explore/?info=region_southindia,"Microsoft 2025 Environmental Sustainability Report does not disclose India-region or Chennai water consumption. Microsoft commits 'newest AI datacentres in HYDERABAD will use no water for cooling' - that commitment is for Hyderabad, not Chennai. Globally Microsoft replenished 104M m3 in 2024.",https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2025-Microsoft-Environmental-Sustainability-Report.pdf,Not computable,Not computable,Not computable,"Microsoft does NOT publish facility-level address, MW, tier, or operator for Azure South India region. The region opened in 2015 and does not yet have Availability Zones (those exist only in Pune Central India). Multiple Azure regions are typically served by leased colo capacity from hyperscale operators; Microsoft does not name those operators in India.","Krishna Nagar Pond (pond, 1ha, 2.1km); Velachery Lake (lake, 20ha, 5.8km); JJ Nagar Lake (lake, 1ha, 6.0km)",2.09
